approach	N	top_k	candidate_count_mean	file_hit	target_coverage	mrr	hit	complete
File_source_order	500	20	20.000000	38.400000	20.363824	12.299240	24.200000	17.400000
File_name_overlap	500	20	20.000000	38.400000	29.570014	20.011740	33.600000	26.400000
Within_file_BM25	500	20	20.000000	38.400000	32.563348	27.646858	36.000000	29.400000
Equal_round_robin	500	20	20.000000	80.400000	41.315224	31.972444	53.000000	33.800000
Stable_random	500	20	20.000000	52.400000	6.720433	4.408387	13.600000	2.800000
Compact_projection	500	20	20.000000	73.600000	49.276162	31.095705	57.800000	42.200000
