baseline	treatment	N	baseline_hit	treatment_hit	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL-2	500	0.656	0.798	0.14200000000000002	0.112	0.172	71	0	429	8.470329472543003e-22
Agentless-Qwen2.5-32B	Agentless-Qwen2.5-32B+MURAL-2	500	0.578	0.744	0.16600000000000004	0.134	0.2	84	1	415	4.446095792472524e-24
LocAgent-Qwen2.5-32B	LocAgent-Qwen2.5-32B+MURAL-2	500	0.612	0.758	0.14600000000000002	0.116	0.178	74	1	425	4.0234064994579266e-21
OrcaLoca-Qwen2.5-32B	OrcaLoca-Qwen2.5-32B+MURAL-2	500	0.214	0.482	0.268	0.23	0.308	134	0	366	9.183549615799121e-41
