baseline	treatment	top_k	instance_id	direction	baseline_rank	treatment_rank
Structural_projection	MURAL	20	django__django-14765	treatment_only	NA	9
Structural_projection	MURAL	20	django__django-14915	treatment_only	NA	9
Structural_projection	MURAL	20	django__django-15022	baseline_only	19	NA
Structural_projection	MURAL	20	django__django-15098	treatment_only	NA	19
Structural_projection	MURAL	20	django__django-15467	baseline_only	1	NA
Structural_projection	MURAL	20	django__django-15554	treatment_only	NA	8
Structural_projection	MURAL	20	django__django-15731	treatment_only	NA	1
Structural_projection	MURAL	20	django__django-15732	treatment_only	NA	2
Structural_projection	MURAL	20	django__django-15851	treatment_only	NA	1
Structural_projection	MURAL	20	django__django-15863	treatment_only	NA	2
Structural_projection	MURAL	20	django__django-15973	treatment_only	NA	12
Structural_projection	MURAL	20	django__django-15987	treatment_only	NA	1
Structural_projection	MURAL	20	django__django-16032	treatment_only	NA	14
Structural_projection	MURAL	20	django__django-16082	baseline_only	2	NA
Structural_projection	MURAL	20	django__django-16116	treatment_only	NA	5
Structural_projection	MURAL	20	django__django-16139	baseline_only	3	NA
Structural_projection	MURAL	20	django__django-16145	treatment_only	NA	10
Structural_projection	MURAL	20	django__django-16527	baseline_only	7	NA
Structural_projection	MURAL	20	django__django-16631	baseline_only	1	NA
Structural_projection	MURAL	20	django__django-16899	treatment_only	NA	3
Structural_projection	MURAL	20	django__django-16901	baseline_only	9	NA
Structural_projection	MURAL	20	django__django-7530	treatment_only	NA	6
Structural_projection	MURAL	20	matplotlib__matplotlib-20488	baseline_only	12	NA
Structural_projection	MURAL	20	matplotlib__matplotlib-20676	treatment_only	NA	20
Structural_projection	MURAL	20	matplotlib__matplotlib-22719	treatment_only	NA	17
Structural_projection	MURAL	20	matplotlib__matplotlib-22865	treatment_only	NA	10
Structural_projection	MURAL	20	matplotlib__matplotlib-24870	treatment_only	NA	8
Structural_projection	MURAL	20	matplotlib__matplotlib-25479	treatment_only	NA	14
Structural_projection	MURAL	20	matplotlib__matplotlib-25775	baseline_only	14	NA
Structural_projection	MURAL	20	matplotlib__matplotlib-26208	treatment_only	NA	5
Structural_projection	MURAL	20	pallets__flask-5014	treatment_only	NA	1
Structural_projection	MURAL	20	psf__requests-1142	treatment_only	NA	14
Structural_projection	MURAL	20	psf__requests-2931	treatment_only	NA	15
Structural_projection	MURAL	20	psf__requests-5414	treatment_only	NA	7
Structural_projection	MURAL	20	pydata__xarray-3677	baseline_only	3	NA
Structural_projection	MURAL	20	pydata__xarray-4356	treatment_only	NA	15
Structural_projection	MURAL	20	pydata__xarray-6992	baseline_only	1	NA
Structural_projection	MURAL	20	pylint-dev__pylint-6386	treatment_only	NA	1
Structural_projection	MURAL	20	pylint-dev__pylint-6528	treatment_only	NA	10
Structural_projection	MURAL	20	pylint-dev__pylint-7277	treatment_only	NA	1
Structural_projection	MURAL	20	pylint-dev__pylint-8898	baseline_only	16	NA
Structural_projection	MURAL	20	pytest-dev__pytest-10356	treatment_only	NA	1
Structural_projection	MURAL	20	pytest-dev__pytest-5809	treatment_only	NA	1
Structural_projection	MURAL	20	pytest-dev__pytest-6197	treatment_only	NA	7
Structural_projection	MURAL	20	pytest-dev__pytest-7236	treatment_only	NA	1
Structural_projection	MURAL	20	pytest-dev__pytest-7324	baseline_only	14	NA
Structural_projection	MURAL	20	pytest-dev__pytest-8399	treatment_only	NA	12
Structural_projection	MURAL	20	scikit-learn__scikit-learn-13496	treatment_only	NA	13
Structural_projection	MURAL	20	scikit-learn__scikit-learn-9288	treatment_only	NA	16
Structural_projection	MURAL	20	sphinx-doc__sphinx-10323	treatment_only	NA	9
Structural_projection	MURAL	20	sphinx-doc__sphinx-10466	treatment_only	NA	16
Structural_projection	MURAL	20	sphinx-doc__sphinx-10673	treatment_only	NA	1
Structural_projection	MURAL	20	sphinx-doc__sphinx-11445	treatment_only	NA	14
Structural_projection	MURAL	20	sphinx-doc__sphinx-7440	treatment_only	NA	1
Structural_projection	MURAL	20	sphinx-doc__sphinx-7462	treatment_only	NA	1
Structural_projection	MURAL	20	sphinx-doc__sphinx-7590	treatment_only	NA	1
Structural_projection	MURAL	20	sphinx-doc__sphinx-7748	treatment_only	NA	1
Structural_projection	MURAL	20	sphinx-doc__sphinx-7910	treatment_only	NA	3
Structural_projection	MURAL	20	sphinx-doc__sphinx-7985	treatment_only	NA	8
Structural_projection	MURAL	20	sphinx-doc__sphinx-8035	treatment_only	NA	1
