approach	N	top_k	candidate_count_mean	file_hit	target_coverage	mrr	hit	complete
k10	500	20	20.000000	87.200000	59.903312	39.348190	69.800000	51.400000
k30	500	20	20.000000	85.000000	58.332511	38.644485	68.200000	50.000000
k60	500	20	20.000000	83.000000	57.588463	37.950833	67.200000	49.600000
k100	500	20	20.000000	82.800000	57.388463	37.842334	67.000000	49.400000
dense05	500	20	20.000000	79.000000	56.225844	36.969852	65.400000	48.800000
dense075	500	20	20.000000	79.600000	56.348463	37.154655	65.600000	49.000000
dense125	500	20	20.000000	82.600000	57.235130	37.967935	66.800000	49.400000
dense15	500	20	20.000000	83.000000	57.671558	38.038953	67.200000	49.800000
