approach	N	top_k	candidate_count_mean	file_hit	target_coverage	mrr	hit	complete
GLM_BM25	500	20	20.000000	94.200000	68.470043	57.958244	79.000000	59.400000
GLM_Structural	500	20	18.052000	93.200000	67.492922	58.059554	78.000000	58.400000
GLM_Dense	500	20	20.000000	95.400000	70.189726	58.149972	80.000000	61.600000
GLM_BM25_Structural	500	20	20.000000	94.600000	69.881840	58.501354	79.200000	61.400000
GLM_BM25_Dense	500	20	20.000000	94.800000	69.336558	58.163539	79.200000	60.600000
GLM_Structural_Dense	500	20	20.000000	95.200000	70.040873	58.458806	79.200000	61.800000
GLM_MURAL	500	20	20.000000	95.200000	69.805996	58.511191	79.800000	61.200000
