instance_id	source	token_budget	candidate_entities	selected_entities	rendered_context_tokens	budget_fill	mean_selected_source_tokens	truncated_entities	changed_lines_covered	changed_lines_total	complete_changed_lines
astropy__astropy-12907	BM25	4000	50	20	3754	0.9385	199.0	7	0	2	0
astropy__astropy-13033	BM25	4000	50	22	3959	0.98975	396.8181818181818	7	0	5	0
astropy__astropy-13236	BM25	4000	50	13	3888	0.972	488.61538461538464	8	0	7	0
astropy__astropy-13398	BM25	4000	50	15	3942	0.9855	397.8666666666667	7	0	30	0
astropy__astropy-13453	BM25	4000	50	8	3818	0.9545	412.625	4	2	2	1
astropy__astropy-13579	BM25	4000	50	15	3967	0.99175	713.0666666666667	10	0	3	0
astropy__astropy-13977	BM25	4000	50	13	3745	0.93625	1099.1538461538462	10	11	43	0
astropy__astropy-14096	BM25	4000	50	9	3907	0.97675	666.4444444444445	7	4	5	0
astropy__astropy-14182	BM25	4000	50	9	3471	0.86775	377.55555555555554	5	0	14	0
astropy__astropy-14309	BM25	4000	50	14	3765	0.94125	352.35714285714283	6	0	5	0
astropy__astropy-14365	BM25	4000	50	15	3866	0.9665	548.6	9	2	4	0
astropy__astropy-14369	BM25	4000	50	16	3991	0.99775	184.75	2	3	39	0
astropy__astropy-14508	BM25	4000	50	5	3932	0.983	530.2	5	0	23	0
astropy__astropy-14539	BM25	4000	50	13	3996	0.999	456.2307692307692	9	0	2	0
astropy__astropy-14598	BM25	4000	50	9	3960	0.99	259.6666666666667	2	0	4	0
astropy__astropy-14995	BM25	4000	50	9	3845	0.96125	1135.0	9	4	4	1
astropy__astropy-7166	BM25	4000	50	24	3960	0.99	343.7916666666667	6	4	8	0
astropy__astropy-7336	BM25	4000	50	23	3986	0.9965	215.47826086956522	7	2	2	1
astropy__astropy-7606	BM25	4000	50	29	3915	0.97875	90.58620689655173	2	2	5	0
astropy__astropy-7671	BM25	4000	50	15	3814	0.9535	380.46666666666664	8	1	2	0
astropy__astropy-8707	BM25	4000	50	11	3998	0.9995	592.5454545454545	7	16	19	0
astropy__astropy-8872	BM25	4000	50	24	3948	0.987	242.625	6	4	10	0
django__django-10097	BM25	4000	50	29	3923	0.98075	78.48275862068965	1	0	2	0
django__django-10554	BM25	4000	50	19	3780	0.945	172.05263157894737	4	0	3	0
django__django-10880	BM25	4000	50	17	3944	0.986	421.4117647058824	7	0	2	0
django__django-10914	BM25	4000	50	22	3971	0.99275	143.0	4	0	2	0
django__django-10973	BM25	4000	50	22	3940	0.985	249.36363636363637	5	0	35	0
django__django-10999	BM25	4000	50	19	3956	0.989	160.10526315789474	2	4	4	1
django__django-11066	BM25	4000	50	17	3739	0.93475	214.88235294117646	6	2	2	1
django__django-11087	BM25	4000	50	17	3992	0.998	288.52941176470586	11	1	9	0
django__django-11095	BM25	4000	50	21	3842	0.9605	213.14285714285714	7	2	3	0
django__django-11099	BM25	4000	50	23	3933	0.98325	149.56521739130434	2	3	4	0
django__django-11119	BM25	4000	50	26	3959	0.98975	89.88461538461539	2	1	2	0
django__django-11133	BM25	4000	50	21	3990	0.9975	201.85714285714286	4	2	2	1
django__django-11138	BM25	4000	50	17	3725	0.93125	184.35294117647058	3	0	43	0
django__django-11141	BM25	4000	50	21	3950	0.9875	226.71428571428572	8	0	7	0
django__django-11149	BM25	4000	50	21	3951	0.98775	310.5238095238095	5	31	31	1
django__django-11163	BM25	4000	50	18	3765	0.94125	295.3888888888889	7	2	2	1
django__django-11179	BM25	4000	50	14	3771	0.94275	371.42857142857144	5	0	1	0
django__django-11206	BM25	4000	50	20	3988	0.997	155.55	2	0	1	0
django__django-11211	BM25	4000	50	14	3825	0.95625	704.5714285714286	9	0	1	0
django__django-11239	BM25	4000	50	27	3979	0.99475	103.03703703703704	3	2	2	1
django__django-11265	BM25	4000	50	21	3996	0.999	236.0	5	0	5	0
django__django-11276	BM25	4000	50	29	3943	0.98575	109.93103448275862	2	8	26	0
django__django-11292	BM25	4000	50	29	3978	0.9945	101.27586206896552	3	1	7	0
django__django-11299	BM25	4000	50	35	3920	0.98	56.05714285714286	2	0	2	0
django__django-11333	BM25	4000	50	22	3934	0.9835	161.45454545454547	4	1	6	0
django__django-11400	BM25	4000	50	26	3832	0.958	103.57692307692308	2	6	14	0
django__django-11433	BM25	4000	50	25	3913	0.97825	100.44	4	0	3	0
django__django-11451	BM25	4000	50	27	3899	0.97475	90.25925925925925	1	1	1	1
django__django-11477	BM25	4000	50	18	3917	0.97925	277.1111111111111	4	2	2	1
django__django-11490	BM25	4000	50	22	3889	0.97225	122.68181818181819	2	0	1	0
django__django-11532	BM25	4000	50	23	3930	0.9825	145.7391304347826	5	6	21	0
django__django-11551	BM25	4000	50	18	3894	0.9735	170.83333333333334	2	0	26	0
django__django-11555	BM25	4000	50	31	3978	0.9945	96.96774193548387	3	0	1	0
django__django-11603	BM25	4000	50	42	3891	0.97275	36.214285714285715	0	0	2	0
django__django-11728	BM25	4000	50	16	3937	0.98425	315.125	6	9	14	0
django__django-11734	BM25	4000	50	20	3922	0.9805	240.8	7	0	8	0
django__django-11740	BM25	4000	50	9	3958	0.9895	314.0	4	0	4	0
django__django-11749	BM25	4000	50	16	3964	0.991	268.9375	7	0	3	0
django__django-11790	BM25	4000	50	30	3972	0.993	85.8	2	2	2	1
django__django-11815	BM25	4000	50	25	3880	0.97	133.72	3	0	4	0
django__django-11820	BM25	4000	50	14	3869	0.96725	538.3571428571429	7	0	3	0
django__django-11848	BM25	4000	50	23	3852	0.963	140.56521739130434	5	5	5	1
django__django-11880	BM25	4000	50	24	3856	0.964	132.91666666666666	5	0	1	0
django__django-11885	BM25	4000	50	20	3839	0.95975	267.1	7	0	75	0
django__django-11951	BM25	4000	50	18	3922	0.9805	225.27777777777777	5	2	2	1
django__django-11964	BM25	4000	50	16	3942	0.9855	189.125	4	0	2	0
django__django-11999	BM25	4000	50	23	3926	0.9815	168.3913043478261	4	0	3	0
django__django-12039	BM25	4000	50	22	3969	0.99225	120.0909090909091	1	0	7	0
django__django-12050	BM25	4000	50	15	3749	0.93725	248.93333333333334	3	16	16	1
django__django-12125	BM25	4000	50	13	3943	0.98575	449.9230769230769	9	0	2	0
django__django-12143	BM25	4000	50	18	3849	0.96225	309.77777777777777	7	2	2	1
django__django-12155	BM25	4000	50	29	3820	0.955	84.48275862068965	1	15	21	0
django__django-12193	BM25	4000	50	25	3906	0.9765	100.56	2	0	4	0
django__django-12209	BM25	4000	50	21	3877	0.96925	173.61904761904762	5	0	1	0
django__django-12262	BM25	4000	50	22	3987	0.99675	140.72727272727272	2	2	2	1
django__django-12273	BM25	4000	50	35	3908	0.977	58.94285714285714	1	0	1	0
django__django-12276	BM25	4000	50	26	3988	0.997	94.42307692307692	1	2	4	0
django__django-12304	BM25	4000	50	14	3757	0.93925	296.64285714285717	5	0	1	0
django__django-12308	BM25	4000	50	17	3724	0.931	343.05882352941177	9	0	1	0
django__django-12325	BM25	4000	50	16	3937	0.98425	250.75	4	0	8	0
django__django-12406	BM25	4000	50	27	3837	0.95925	65.96296296296296	2	0	11	0
django__django-12419	BM25	4000	50	20	3870	0.9675	118.55	2	0	2	0
django__django-12663	BM25	4000	50	17	3776	0.944	315.1764705882353	5	0	2	0
django__django-12708	BM25	4000	50	18	3836	0.959	199.88888888888889	3	2	2	1
django__django-12713	BM25	4000	50	32	3984	0.996	160.53125	6	0	12	0
django__django-12741	BM25	4000	50	28	3963	0.99075	81.75	0	4	6	0
django__django-12754	BM25	4000	50	15	3782	0.9455	435.8666666666667	8	0	1	0
django__django-12774	BM25	4000	50	15	3902	0.9755	356.6666666666667	10	0	2	0
django__django-12858	BM25	4000	50	19	3906	0.9765	202.47368421052633	5	0	2	0
django__django-12965	BM25	4000	50	24	3745	0.93625	164.5	4	0	1	0
django__django-13012	BM25	4000	50	30	3945	0.98625	80.66666666666667	1	1	1	1
django__django-13023	BM25	4000	50	25	3800	0.95	101.44	1	2	2	1
django__django-13028	BM25	4000	50	22	3951	0.98775	231.5	5	2	2	1
django__django-13033	BM25	4000	50	23	3968	0.992	142.7391304347826	6	0	2	0
django__django-13089	BM25	4000	50	24	3929	0.98225	129.95833333333334	2	3	4	0
django__django-13109	BM25	4000	50	11	3980	0.995	368.90909090909093	5	2	2	1
django__django-13112	BM25	4000	50	11	4000	1.0	235.54545454545453	4	0	2	0
django__django-13121	BM25	4000	50	21	3811	0.95275	140.33333333333334	2	20	52	0
django__django-13128	BM25	4000	50	26	3748	0.937	96.61538461538461	2	7	22	0
django__django-13158	BM25	4000	50	22	3866	0.9665	143.86363636363637	3	0	2	0
django__django-13195	BM25	4000	50	15	3895	0.97375	196.6	3	8	10	0
