approach	N	top_k	candidate_count_mean	file_hit	target_coverage	mrr	hit	complete
BM25	500	20	20.000000	73.600000	49.276162	31.095705	57.800000	42.200000
Structural	500	20	16.892000	59.200000	46.615664	31.437884	52.600000	42.000000
Dense	500	20	20.000000	83.600000	55.086248	34.514952	64.400000	47.000000
BM25_Structural	500	20	20.000000	77.000000	54.358203	34.936758	63.200000	46.800000
BM25_Dense	500	20	20.000000	81.400000	54.686876	34.859668	63.800000	47.000000
Structural_Dense	500	20	20.000000	82.200000	57.595173	38.206905	66.400000	49.600000
MURAL	500	20	20.000000	83.000000	57.588463	37.950833	67.200000	49.600000
