approach	N	top_k	candidate_count_mean	file_hit	target_coverage	mrr	hit	complete
OwnRemaining	500	20	6.054000	87.400000	54.306883	55.266833	66.600000	45.000000
SameFileNeighbors	500	20	16.736000	87.000000	64.970642	56.308990	74.800000	56.600000
StableRandom	500	20	20.000000	92.000000	55.506176	55.468896	67.800000	45.800000
FileSourceOrder	500	20	20.000000	90.200000	59.377201	56.273111	71.000000	50.400000
WithinFileBM25	500	20	20.000000	90.200000	62.948470	57.554422	73.600000	54.400000
EqualRoundRobin	500	20	20.000000	95.600000	64.802778	58.149137	77.600000	54.800000
BM25Projection	500	20	20.000000	94.200000	68.470043	57.958244	79.000000	59.400000
DenseProjection	500	20	20.000000	95.400000	70.189726	58.149972	80.000000	61.600000
MURAL	500	20	20.000000	95.200000	69.805996	58.511191	79.800000	61.200000
