instance_id	cutoff_epoch	historical_path_rows	time_ineligible_path_rows	historical_artifacts	time_ineligible_artifacts	top20_equal_after_strict_filter	top50_equal_after_strict_filter	packed_entities_4000	packed_4000_equal_after_strict_filter	current_top20_sha256	strict_top20_sha256
sympy__sympy-23413	1650757241.0	0	0			1	1	17	1	72ad63c4ae18fde469dc3b530d21f607d470aa9f35c80263fce780ee9f35fd54	72ad63c4ae18fde469dc3b530d21f607d470aa9f35c80263fce780ee9f35fd54
sympy__sympy-23534	1653178353.0	0	0			1	1	24	1	2e9e9f9c0d29ed491b68c62b529a180a966bc9b587892fc6b578101a6626a337	2e9e9f9c0d29ed491b68c62b529a180a966bc9b587892fc6b578101a6626a337
sympy__sympy-23824	1658614416.0	0	0			1	1	15	1	8029100f49e09583368b910d005b433f6b70d9bab36bbbbc82bb8d0629fb186f	8029100f49e09583368b910d005b433f6b70d9bab36bbbbc82bb8d0629fb186f
sympy__sympy-23950	1661019670.0	0	0			1	1	21	1	79c945191ba9e991c72eec9d6aa0e0722a44be918c18070a4a53823535c3d98b	79c945191ba9e991c72eec9d6aa0e0722a44be918c18070a4a53823535c3d98b
sympy__sympy-24066	1663369095.0	0	0			1	1	14	1	453f05b2a9e05d4c221172b3788b97d0f3b14348879c4fe9f0a5d15c26671049	453f05b2a9e05d4c221172b3788b97d0f3b14348879c4fe9f0a5d15c26671049
sympy__sympy-24213	1667484009.0	0	0			1	1	20	1	7817f5b29e123b3cf56831bbaf6b3328ac7b618206f2cb1e393360b833d7a6fb	7817f5b29e123b3cf56831bbaf6b3328ac7b618206f2cb1e393360b833d7a6fb
sympy__sympy-24443	1672411399.0	0	0			1	1	11	1	5ffa4344f0eaa664f705fb348687ede280d0903f674145042b4a43b5f1f8130f	5ffa4344f0eaa664f705fb348687ede280d0903f674145042b4a43b5f1f8130f
sympy__sympy-24539	1673976402.0	0	0			1	1	19	1	32124baf36f80ff822acdb46f1b2ed49dbb387f37913ad75f5e24a1f4833eba8	32124baf36f80ff822acdb46f1b2ed49dbb387f37913ad75f5e24a1f4833eba8
sympy__sympy-24562	1674302796.0	0	0			1	1	21	1	76b6e89d397b48b3ded91f8fb942ae6a15410a109e62999f1df4cfd027b06ab2	76b6e89d397b48b3ded91f8fb942ae6a15410a109e62999f1df4cfd027b06ab2
sympy__sympy-24661	1675624522.0	0	0			1	1	14	1	c275289cc29c9dbb1b3a7854d9a7b5ba23c5861638da8573a17c114ad6d83b02	c275289cc29c9dbb1b3a7854d9a7b5ba23c5861638da8573a17c114ad6d83b02
