approach	N	top_k	candidate_count_mean	file_hit	target_coverage	mrr	hit	complete
Issue	500	40	6.284000	87.400000	54.306883	55.257309	66.600000	45.000000
BM25	500	40	40.000000	95.600000	71.774127	58.070279	82.000000	63.000000
MURAL	500	40	40.000000	97.200000	76.952937	58.732223	86.000000	68.800000
