source_role	sha256	task_c_rows
annotator_A	55aa81725343df92dda7e2d203932a994ef95a46f7441186cc8b67f70c14d640	50
annotator_B	29cc124822aad02b5c4267191724ce99ed8d5e45379be80ae853ab4f16fa0f77	50
