approach	N	top_k	candidate_count_mean	file_hit	target_coverage	mrr	hit	complete
EntityPrimary	500	20	20.000000	73.600000	49.276162	31.095705	57.800000	42.200000
FilePrimary	500	20	20.000000	64.800000	46.136955	30.406252	54.000000	39.600000
