variant	N	rendered_entities_mean	source_entities_mean	prompt_tokens_mean	source_target_coverage	source_hit	source_complete	verified_prompt_hashes
bm25	500	16.744000	4.956000	3613.916000	50.247835	62.200000	42.000000	500
mural	500	17.302000	5.146000	3565.324000	52.419892	64.000000	44.000000	500
