approach	N	candidate_count_mean	file_hit	target_coverage	mrr	hit	complete
CoSIL	500	4.046000	79.200000	58.328398	55.973333	67.800000	51.000000
CoSIL+MURAL	500	20.000000	92.800000	74.225310	59.511370	84.000000	65.200000
Agentless	500	2.518000	57.000000	40.125671	42.658571	47.600000	34.600000
Agentless+MURAL	500	20.000000	88.400000	66.945224	53.148299	76.400000	58.200000
LocAgent	500	3.784000	74.800000	55.864307	57.270476	65.000000	49.000000
LocAgent+MURAL	500	20.000000	92.000000	71.212749	61.908918	81.400000	62.400000
OrcaLoca	500	0.298000	17.000000	12.177143	12.766667	14.000000	10.800000
OrcaLoca+MURAL	500	20.000000	84.400000	60.288463	41.611671	70.000000	52.200000
