baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
CodeOnlyStructural	HistoricalStructural	20	file	500	0.65	0.592	-0.05800000000000005	-0.1	-0.018	39	68	393	0.006517764631278962
CodeOnlyStructural	HistoricalStructural	20	method	500	0.4990944444444445	0.4527596681096681	-0.046334776334776395	-0.08143214285714287	-0.011299314574314575	43	72	385	NA
CodeOnlyStructural	HistoricalStructural	20	mrr	500	0.31245605844104296	0.2631367764072873	-0.049319282033755685	-0.07972806512373076	-0.018480230442072535	79	182	239	NA
CodeOnlyStructural	HistoricalStructural	20	hit	500	0.564	0.506	-0.05799999999999994	-0.096	-0.02	32	61	407	0.003461853491442379
MURALCodeOnly	MURALHistorical	20	file	500	0.804	0.83	0.025999999999999912	0.006	0.048	20	7	473	0.0191572904586792
MURALCodeOnly	MURALHistorical	20	method	500	0.568143745143745	0.5961367243867242	0.027992979242979166	0.007405677655677656	0.04905250305250306	31	14	455	NA
MURALCodeOnly	MURALHistorical	20	mrr	500	0.34178973114089195	0.3448987389201785	0.0031090077792865767	-0.013449899567237028	0.01986829220830769	84	51	365	NA
MURALCodeOnly	MURALHistorical	20	hit	500	0.642	0.672	0.030000000000000027	0.008	0.052	24	9	467	0.013530986849218607
