name	family	N	edit_target_recall	complete_edit_target_rate	source
BM25	controlled	500	0.3920462481962482	0.35	runs/text_baselines_nohints/2000
KG graph-only	controlled	500	0.3377373737373737	0.308	runs/kg_verified_evidence_graph/tse_timesafe_main_20260529_v6
BM25 files + local	controlled	500	0.5010113275613275	0.446	temp_run/mural_experiment_additions/selector_minimal_20260715c/title_exact_file_rank_ast
KG file-local	controlled	500	0.4527596681096681	0.412	temp_run/mural_experiment_additions/selector_compact_main_20260715/kg_local
MURAL-2	controlled	500	0.5519722222222222	0.49	temp_run/mural_experiment_additions/selector_compact_main_20260715/mural_2src
GLM-5 issue-only	fusion	500	0.529893573093573	0.462	temp_run/eval_aliyun_glm5_issueonly
GLM-5 + KG local	fusion	500	0.6585265817515819	0.592	temp_run/mural_experiment_additions/selector_compact_main_20260715/glm5_kg_b20_p10
GLM-5 + BM25 local	fusion	500	0.691663197913198	0.62	temp_run/mural_experiment_additions/selector_compact_main_20260715/glm5_bm25_b20_p10
GLM-5 + MURAL-2	fusion	500	0.7112065601065601	0.644	temp_run/mural_experiment_additions/selector_compact_main_20260715/glm5_mural2_b20_p10
